City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,gorontalo,0.5412,123.0595,24.09,84,61,1.39,ID,1708296628
119,mabaruma,8.2,-59.7833,25.48,77,23,2.6,GY,1708296629
120,selfoss,63.9331,-20.9971,4.47,96,100,2.48,IS,1708296630
121,lorengau,-2.0226,147.2712,28.77,79,91,4.75,PG,1708296632
122,cestos city,5.46,-9.5828,27.61,87,93,2.53,LR,1708296633
123,swakopmund,-22.6833,14.5333,16.54,88,2,1.19,NA,1708296634
124,oranjemund,-28.55,16.4333,16.48,93,0,1.1,NA,1708296635
125,tsiombe,-25.3,45.4833,23.03,83,4,6.21,MG,1708296636
126,albany,42.6001,-73.9662,-0.23,52,93,0.45,US,1708296637
127,monrovia,6.3005,-10.7969,27.77,83,100,3.55,LR,1708296638
128,vila velha,-20.3297,-40.2925,27.19,89,75,1.54,BR,1708296639
129,suntar,62.1444,117.6319,-28.11,95,100,4.13,RU,1708296640
130,noosa heads,-26.3833,153.15,26.85,68,22,3.97,AU,1708296408
131,montevideo,-34.8335,-56.1674,23.01,83,75,5.14,UY,1708296541
132,cambridge,43.3601,-80.3127,-1.18,80,100,6.17,CA,1708296468
133,susuman,62.7833,148.1667,-32.59,93,100,1.06,RU,1708296645
134,mga,59.75,31.0667,-8.04,98,16,1.6,RU,1708296646
135,pasuquin,18.3328,120.6177,21.97,94,20,2.06,PH,1708296647
136,asker,59.8333,10.4372,-0.2,98,95,1.7,NO,1708296648
137,wewak,-3.5534,143.6268,26.91,85,92,1.78,PG,1708296649
138,kristiansund,63.1115,7.732,0.36,55,0,2.57,NO,1708296650
139,alice springs,-23.7,133.8833,28.45,57,100,4.12,AU,1708296651
140,norderney,53.7,7.15,7.32,96,100,10.72,DE,1708296652
141,nagqu,31.5,92.0,-9.64,47,67,2.08,CN,1708296653
142,sirpur,19.4833,79.6,22.17,40,0,3.47,IN,1708296654
143,ust-nera,64.5667,143.2,-33.24,96,100,1.07,RU,1708296655
